producto,segmento,fecha_prediccion,prob_no_venta,prob_venta_baja,prob_venta_alta,demanda_esperada,demanda_maxima,limite_baja_alta,stock_actual,stock_seguridad_sugerido,punto_reorden,venta_promedio_6m,venta_std_6m,accion_recomendada,timestamp_generacion
"Perfil Angulo Interno de 35 mm x 3,00 m x 0,50 mm",A.1 (Valor Alto),2025-08-01,0.22999999999999998,0.017246669918314087,0.752753330081686,847.6262309108562,1544.7988058350354,745.0,0,697.1725749241792,1544.7988058350354,8408.333,2555.5263671875,COMPRAR URGENTE,2025-11-12T20:16:53.138116
"Perfil Montante de 35 mm x 3,00 m x 0,50 mm",A.1 (Valor Alto),2025-08-01,0.22999999999999998,0.05756921337129102,0.712430786628709,817.5859360383881,1490.0503684299624,745.0,0,672.4644323915743,1490.0503684299624,6206.1665,3212.3515625,COMPRAR URGENTE,2025-11-12T20:16:53.568449
"Perfil Omega de 3,00 m x 0,50 mm",A.1 (Valor Alto),2025-08-01,0.22999999999999998,0.05977282368188981,0.7102271763181102,815.9442463569922,1487.0583889856182,745.0,0,671.114142628626,1487.0583889856182,21513.834,14342.080078125,COMPRAR URGENTE,2025-11-12T20:16:53.993346
Placa de Yeso Knauf de 10 mm (1.20 x 2.40 m),A.1 (Valor Alto),2025-08-01,0.23250000000000004,0.05738230034086474,0.7101176996591352,814.9314362460557,1485.2125425584363,745.0,0,670.2811063123808,1485.2125425584363,6870.8335,4222.7666015625,COMPRAR URGENTE,2025-11-12T20:16:54.834994
Cielo PVC de 10 mm (0.20 x 6.00 m),A.1 (Valor Alto),2025-08-01,0.23553846153846147,0.1586457169624194,0.6058158214991193,736.094710093767,1341.5326091458905,745.0,0,605.4378990521234,1341.5326091458905,1306.0,1414.261474609375,COMPRAR URGENTE,2025-11-12T20:16:52.190561
"Perfil Montante de 70 mm x 3,00 m x 0,50 mm",A.1 (Valor Alto),2025-08-01,0.23585714285714288,0.1964486516910636,0.5676942054517938,707.5753973473009,1289.5561616654559,745.0,0,581.9807643181549,1289.5561616654559,1497.0,610.6364135742188,COMPRAR URGENTE,2025-11-12T20:16:53.727200
"Perfil Montante de 35 mm x 3,00 m x 0,42 mm",A.1 (Valor Alto),2025-08-01,0.2340119047619048,0.24160037750535715,0.5243877177327382,675.9994151870804,1232.0089341784542,745.0,0,556.0095189913736,1232.0089341784542,2457.6667,3098.3681640625,COMPRAR URGENTE,2025-11-12T20:16:53.377864
"Placa de Yeso Knauf de 12,5 mm (1.20 x 2.40 m)",A.1 (Valor Alto),2025-08-01,0.22999999999999998,0.2760437788354781,0.4939562211645222,654.8223847675691,1193.4137962388947,745.0,0,538.5914114713256,1193.4137962388947,1325.8334,1572.2744140625,COMPRAR,2025-11-12T20:16:55.038705
"PGC-90 x 0,94 x 6,00 m",A.1 (Valor Alto),2025-08-01,0.24598484848484847,0.5404709542003812,0.21354419731477012,439.9610709388976,801.8290517861408,745.0,0,361.86798084724325,801.8290517861408,647.3333,288.6407165527344,COMPRAR,2025-11-12T20:16:52.839020
"Placa de Yeso Knauf RH de 12,5 mm (1.20 x 2.40 m)",A.2 (Valor Medio),2025-08-01,0.7013967698967698,0.09969230207707866,0.1989109280261515,19.848114955432695,36.17318950627609,57.0,0,16.325074550843393,36.17318950627609,203.16667,90.86785125732422,NO COMPRAR,2025-11-12T20:16:54.662702
